site,datetime_utc,observed_swe_mm,gfs_swe_mm,observed_slr,linear_slr,elastic_slr,mlp_slr,svr_slr,fixed_slr,kuchera_slr,baxter_slr,nws_table_slr,web_slr_slr,alcott_slr,alcott_hiswe_slr,hrrrv3_asnow_slr
CLN,2016-10-30 21:00:00,12.7,2.0,4.0,7.2,7.7,5.4,7.6,10.0,-14.2,9.3,0.0,9.5,27.0,1.4,4.2
CLN,2016-11-01 21:00:00,5.8,2.0,8.7,13.4,13.0,11.6,12.7,10.0,-3.9,9.3,0.0,15.0,6.0,9.7,4.2
CLN,2016-11-16 21:00:00,3.3,0.0,15.4,13.5,12.3,15.7,14.3,10.0,-8.9,9.5,0.0,12.0,22.4,3.7,4.2
CLN,2016-11-17 21:00:00,7.1,14.7,14.3,14.6,15.0,14.4,13.6,10.0,11.3,9.5,15.0,17.9,13.8,18.1,12.7
CLN,2016-11-20 21:00:00,7.4,0.0,6.9,11.5,11.1,12.7,12.8,10.0,-0.7,9.5,0.0,13.9,11.1,5.0,4.2
CLN,2016-11-21 21:00:00,31.5,8.2,8.5,9.1,9.2,8.9,9.0,10.0,-1.9,9.5,0.0,15.3,8.1,8.6,4.2
CLN,2016-11-23 21:00:00,25.4,0.1,12.0,9.9,10.0,9.5,8.4,10.0,7.5,9.6,10.0,17.7,12.7,13.7,8.3
CLN,2016-11-26 21:00:00,10.7,0.0,9.5,17.8,14.6,17.8,12.1,10.0,11.5,9.6,0.0,16.9,12.5,8.5,4.2
CLN,2016-11-27 21:00:00,17.8,8.8,20.0,13.8,13.6,14.3,14.5,10.0,9.4,9.6,10.0,18.6,12.8,13.3,9.4
CLN,2016-11-28 21:00:00,43.4,30.6,12.9,12.1,12.4,13.5,12.9,10.0,13.2,9.6,15.0,15.5,15.3,20.5,12.8
CLN,2016-12-01 21:00:00,23.1,1.4,6.6,11.4,12.9,11.0,10.4,10.0,20.0,9.6,30.0,15.7,19.3,21.6,13.0
CLN,2016-12-05 21:00:00,39.9,28.4,6.1,7.5,7.6,8.8,9.1,10.0,9.0,9.6,10.0,16.6,3.3,5.5,5.8
CLN,2016-12-08 21:00:00,30.7,3.9,6.6,6.4,6.6,9.7,8.1,10.0,4.7,9.6,0.0,14.1,1.2,3.9,4.2
CLN,2016-12-09 21:00:00,41.9,72.3,9.4,6.7,6.8,6.8,7.3,10.0,1.4,9.6,10.0,15.4,3.5,8.0,4.2
CLN,2016-12-10 21:00:00,4.6,0.6,11.1,15.2,14.5,14.2,14.0,10.0,13.0,9.6,15.0,18.8,8.9,13.9,12.3
CLN,2016-12-11 21:00:00,33.5,12.7,11.4,9.7,10.1,9.4,10.9,10.0,8.6,9.6,10.0,19.4,9.2,10.4,9.5
CLN,2016-12-14 21:00:00,11.2,0.1,9.1,14.4,13.9,13.4,13.6,10.0,16.1,9.6,15.0,19.4,12.0,17.1,12.8
CLN,2016-12-15 21:00:00,19.0,8.9,25.3,16.1,15.1,16.0,19.4,10.0,13.9,9.6,15.0,16.0,16.1,17.9,12.8
CLN,2016-12-16 21:00:00,5.3,7.2,14.3,18.4,17.7,18.4,18.0,10.0,15.8,9.6,20.0,15.0,16.1,18.6,12.9
CLN,2016-12-23 21:00:00,6.3,0.0,8.0,16.2,15.7,15.3,12.5,10.0,22.0,9.6,20.0,16.8,13.3,18.4,12.9
CLN,2016-12-24 21:00:00,17.0,32.9,7.5,9.6,9.3,9.2,9.9,10.0,12.3,9.6,15.0,17.3,2.0,10.3,11.7
CLN,2016-12-25 21:00:00,39.6,29.4,6.1,7.3,7.1,6.8,7.0,10.0,4.2,9.6,10.0,16.1,-0.1,5.4,4.2
CLN,2017-01-01 21:00:00,25.4,52.6,8.5,10.6,10.6,9.0,11.1,10.0,6.6,9.6,10.0,19.8,6.1,9.1,10.6
CLN,2017-01-02 21:00:00,10.7,12.6,11.9,15.6,15.3,16.3,17.0,10.0,12.6,9.6,15.0,16.6,13.6,15.9,12.5
CLN,2017-01-03 21:00:00,8.4,9.9,15.2,11.2,11.2,12.6,11.5,10.0,13.1,9.6,15.0,16.9,10.2,14.6,11.4
CLN,2017-01-04 21:00:00,14.5,6.1,24.6,14.0,14.4,16.6,16.8,10.0,12.9,9.6,15.0,17.3,14.7,18.3,12.7
CLN,2017-01-05 21:00:00,24.6,20.6,18.6,13.8,13.4,15.8,16.3,10.0,13.0,9.6,15.0,16.9,15.1,16.2,12.7
CLN,2017-01-07 21:00:00,29.0,8.5,6.1,12.0,12.2,12.8,12.1,10.0,15.2,9.6,15.0,16.8,15.3,19.8,12.9
CLN,2017-01-08 21:00:00,54.9,25.9,12.0,9.7,9.6,9.6,10.7,10.0,10.1,9.6,15.0,18.6,9.6,11.9,12.1
CLN,2017-01-09 21:00:00,7.1,17.7,23.2,18.5,18.6,20.6,21.3,10.0,15.5,9.6,20.0,15.0,16.2,22.4,13.0
CLN,2017-01-10 21:00:00,7.9,7.7,25.8,19.8,19.3,22.8,20.0,10.0,18.5,9.6,30.0,15.0,18.2,26.3,13.0
CLN,2017-01-11 21:00:00,5.1,8.7,20.0,21.4,20.9,22.5,18.9,10.0,20.3,9.6,40.0,15.0,13.6,27.1,13.0
CLN,2017-01-12 21:00:00,3.8,0.8,13.3,14.0,14.2,15.0,14.4,10.0,11.3,6.0,10.0,18.2,8.1,11.0,8.9
CLN,2017-01-19 21:00:00,4.1,3.1,9.4,13.3,13.5,12.7,11.9,10.0,7.5,6.0,10.0,18.1,4.7,11.3,6.9
CLN,2017-01-20 21:00:00,4.6,7.8,8.3,15.3,14.9,15.3,14.3,10.0,6.2,6.0,10.0,18.7,5.7,9.6,4.2
CLN,2017-01-21 21:00:00,3.3,51.0,15.4,13.4,13.3,13.9,14.4,10.0,3.2,6.0,10.0,17.0,-0.5,6.7,4.2
CLN,2017-01-22 21:00:00,47.5,8.5,6.9,4.5,5.4,4.5,5.2,10.0,-3.0,6.0,0.0,13.0,1.7,4.0,4.2
CLN,2017-01-23 21:00:00,7.4,43.9,13.8,12.8,12.1,13.8,14.3,10.0,4.4,6.0,10.0,17.2,6.5,15.4,8.1
CLN,2017-01-24 21:00:00,9.4,1.6,9.5,11.2,11.5,9.7,9.7,10.0,2.1,6.0,0.0,15.9,6.1,10.7,4.2
CLN,2017-01-25 21:00:00,19.3,7.6,8.6,9.1,9.8,8.9,7.4,10.0,2.1,6.0,0.0,16.4,7.3,9.3,4.2
CLN,2017-01-26 21:00:00,27.2,14.3,7.5,9.8,10.0,9.3,10.2,10.0,3.9,6.0,10.0,17.6,7.0,10.2,4.2
CLN,2017-02-02 21:00:00,6.3,12.7,4.0,13.3,13.2,11.7,11.1,10.0,5.3,6.0,10.0,18.6,4.7,12.6,6.7
CLN,2017-02-03 21:00:00,33.3,17.6,9.9,6.6,7.4,5.1,5.7,10.0,0.9,6.0,10.0,16.2,-1.5,3.2,4.2
CLN,2017-02-05 21:00:00,21.6,21.3,20.0,15.5,15.5,18.2,18.2,10.0,14.6,6.0,20.0,15.0,18.5,23.6,12.9
CLN,2017-02-06 21:00:00,12.2,21.3,16.7,19.3,19.0,20.1,12.7,10.0,18.2,6.1,30.0,15.0,15.1,26.6,13.0
CLN,2017-02-07 21:00:00,3.6,3.5,14.3,21.3,21.5,20.6,18.6,10.0,20.8,6.1,40.0,15.0,13.2,26.0,13.0
CLN,2017-02-10 21:00:00,7.1,6.1,16.1,17.3,18.1,18.3,19.0,10.0,16.9,6.1,20.0,15.0,18.4,21.0,13.0
CLN,2017-02-11 21:00:00,22.4,0.1,14.8,11.8,11.1,13.7,12.0,10.0,6.4,9.6,0.0,18.2,8.5,7.3,4.2
CLN,2017-02-17 21:00:00,3.3,25.2,11.6,21.2,20.8,19.5,16.8,10.0,14.8,9.6,20.0,15.0,14.9,20.0,12.9
CLN,2017-02-18 21:00:00,2.8,5.8,9.1,18.5,18.4,19.7,19.7,10.0,17.3,9.6,20.0,15.0,15.0,18.1,13.0
CLN,2017-02-19 21:00:00,15.0,4.4,5.1,8.9,9.1,8.7,7.3,10.0,-10.1,9.4,0.0,12.5,10.7,3.8,4.2
CLN,2017-02-20 21:00:00,18.5,8.5,4.8,9.1,9.3,7.9,6.5,10.0,-8.6,9.4,0.0,13.8,6.4,4.8,4.2
CLN,2017-02-21 21:00:00,21.3,14.0,9.5,11.2,11.1,11.3,13.3,10.0,-0.3,9.3,10.0,17.3,7.3,13.5,4.2
CLN,2017-02-22 21:00:00,17.5,4.7,8.7,10.3,10.6,10.3,10.2,10.0,2.4,9.3,0.0,15.9,8.6,9.7,4.2
CLN,2017-02-23 21:00:00,27.4,12.9,12.0,10.0,10.5,9.6,11.9,10.0,3.4,9.3,10.0,17.5,8.9,13.2,4.2
CLN,2017-02-24 21:00:00,19.0,9.8,9.3,10.4,10.1,10.1,9.3,10.0,-2.4,9.3,0.0,15.0,6.5,8.9,4.2
CLN,2017-02-25 21:00:00,6.6,4.8,7.7,11.1,11.3,9.8,10.7,10.0,-0.8,9.2,10.0,15.0,5.6,10.2,4.2
CLN,2017-02-26 21:00:00,3.3,1.8,3.8,12.5,12.2,12.2,10.2,10.0,-7.4,9.2,0.0,12.5,8.2,2.5,4.2
CLN,2017-02-27 21:00:00,44.7,12.4,11.4,8.0,8.3,7.8,9.2,10.0,-6.5,9.1,0.0,15.0,6.6,2.9,4.2
CLN,2017-02-28 21:00:00,8.9,18.2,14.3,14.5,15.2,15.0,14.7,10.0,10.3,9.1,15.0,17.0,14.9,17.8,12.5
CLN,2017-03-05 21:00:00,21.3,3.2,6.6,6.9,7.7,7.1,7.1,10.0,-10.7,9.0,0.0,11.9,10.4,6.6,4.2
CLN,2017-03-06 21:00:00,7.1,25.8,5.4,12.6,12.6,10.7,10.6,10.0,-1.3,9.0,10.0,16.7,5.9,13.6,4.2
CLN,2017-03-07 21:00:00,21.8,1.6,9.3,11.2,11.7,8.9,8.3,10.0,-2.3,9.0,0.0,17.2,9.6,10.4,4.2
CLN,2017-03-21 21:00:00,31.2,10.4,9.4,8.2,8.9,7.6,9.1,10.0,-3.9,8.9,0.0,15.2,5.0,8.5,4.2
CLN,2017-03-22 21:00:00,36.1,38.5,10.6,10.8,11.2,11.2,10.7,10.0,3.8,8.9,10.0,19.6,9.9,13.2,8.9
CLN,2017-03-23 21:00:00,29.7,4.8,7.7,9.9,10.3,9.6,11.1,10.0,2.6,8.9,10.0,18.2,8.1,14.0,6.3
CLN,2017-03-25 21:00:00,22.6,28.2,10.1,11.5,11.9,10.2,10.3,10.0,3.8,8.9,10.0,19.8,8.8,12.3,9.4
CLN,2017-03-27 21:00:00,3.0,0.1,8.3,14.2,14.6,14.0,13.2,10.0,3.3,8.9,10.0,16.9,8.5,11.2,4.3
CLN,2017-03-30 21:00:00,8.9,15.1,8.6,12.5,12.5,8.9,8.3,10.0,-7.5,8.9,0.0,15.3,4.5,9.3,4.2
CLN,2017-04-02 21:00:00,5.3,3.2,9.5,14.6,14.9,14.1,14.1,10.0,4.9,9.1,15.0,19.4,11.8,16.1,11.0
CLN,2017-04-07 21:00:00,4.1,5.2,3.1,12.5,11.9,9.2,8.2,10.0,-8.5,9.3,0.0,13.3,4.3,9.7,4.2
CLN,2017-04-08 21:00:00,9.6,3.9,10.5,11.2,10.8,9.8,8.8,10.0,-6.0,9.3,0.0,15.1,5.2,9.8,4.2
CLN,2017-04-09 21:00:00,7.6,4.9,8.3,15.5,14.7,14.4,13.5,10.0,0.7,9.3,10.0,18.0,6.7,13.5,4.3
CLN,2017-04-18 21:00:00,11.4,7.2,4.4,10.4,10.2,11.0,9.1,10.0,-7.5,9.5,0.0,13.1,6.3,3.6,4.2
CLN,2017-04-19 21:00:00,46.0,48.6,6.6,7.5,7.5,7.2,7.2,10.0,-3.7,9.5,0.0,15.5,2.0,4.6,4.2
CLN,2017-04-20 21:00:00,3.0,0.8,8.3,12.4,11.8,15.2,12.4,10.0,-12.5,9.6,0.0,10.8,21.4,1.0,4.2
CLN,2017-04-21 21:00:00,27.4,0.2,11.6,9.8,9.2,11.0,11.9,10.0,-4.1,9.6,0.0,15.7,8.5,8.2,4.2
CLN,2017-04-24 21:00:00,4.1,0.0,6.3,13.7,12.8,15.6,18.0,10.0,3.5,9.6,0.0,13.1,21.3,3.0,4.2
CLN,2017-04-25 21:00:00,11.4,0.4,15.6,12.1,11.8,14.5,13.8,10.0,2.8,9.6,10.0,16.9,6.4,9.0,4.2
CLN,2017-04-26 21:00:00,7.1,0.2,14.3,15.2,15.3,14.9,15.4,10.0,17.1,9.6,20.0,17.9,13.9,16.7,13.0
CLN,2017-04-27 21:00:00,19.8,24.3,11.5,11.8,11.5,11.6,12.0,10.0,13.8,9.6,15.0,19.3,8.9,11.8,12.8
CLN,2017-04-28 21:00:00,24.6,4.5,8.2,11.2,11.2,7.7,5.1,10.0,16.2,9.6,20.0,19.2,11.6,11.7,12.9
CLN,2017-04-30 21:00:00,3.0,23.9,8.3,14.9,14.4,16.4,15.1,10.0,12.0,9.6,15.0,18.8,3.3,12.5,12.2
CLN,2017-10-01 21:00:00,21.6,4.6,7.7,9.6,9.8,8.7,9.3,10.0,1.9,9.6,10.0,15.7,7.3,9.9,4.2
CLN,2017-10-10 21:00:00,5.8,0.0,10.9,12.3,11.3,13.5,14.2,10.0,3.3,9.6,0.0,13.2,22.3,7.6,4.2
CLN,2017-10-21 21:00:00,24.1,29.0,5.8,8.0,7.6,7.0,7.3,10.0,2.0,9.6,10.0,14.5,5.6,10.3,4.2
CLN,2017-11-03 21:00:00,19.8,43.9,9.0,9.9,10.1,7.5,9.6,10.0,2.8,9.6,10.0,17.3,4.0,10.2,4.2
CLN,2017-11-04 21:00:00,7.6,3.1,8.3,13.3,13.8,13.4,13.0,10.0,12.1,9.6,15.0,19.0,8.7,13.0,12.7
CLN,2017-11-06 21:00:00,12.4,0.6,12.2,10.5,9.9,11.7,11.1,10.0,-3.2,9.6,0.0,14.3,7.6,7.1,4.2
CLN,2017-11-16 21:00:00,4.3,0.8,17.6,18.1,17.9,20.6,21.8,10.0,17.8,9.6,20.0,15.6,15.9,18.9,13.0
CLN,2017-11-17 21:00:00,13.2,0.1,15.4,14.4,13.0,16.2,15.6,10.0,9.8,9.6,10.0,19.1,11.2,6.5,4.2
CLN,2017-11-27 21:00:00,3.8,4.1,13.3,17.2,17.4,16.2,15.3,10.0,6.6,6.0,15.0,18.3,12.0,15.1,11.6
CLN,2017-12-03 21:00:00,8.9,2.0,17.1,12.9,13.5,14.3,13.6,10.0,4.2,6.0,10.0,19.8,10.7,14.1,10.0
CLN,2017-12-04 21:00:00,8.6,1.6,22.0,15.9,15.7,15.9,16.0,10.0,7.8,6.0,15.0,18.1,18.1,15.0,11.1
CLN,2017-12-13 21:00:00,9.1,0.5,15.3,15.2,14.8,15.4,10.4,10.0,7.1,6.0,15.0,19.9,12.5,15.2,11.3
CLN,2017-12-20 21:00:00,27.7,1.5,13.8,10.6,10.6,12.8,14.0,10.0,1.4,6.0,10.0,17.6,8.2,6.6,4.2
CLN,2017-12-22 21:00:00,13.2,34.1,13.5,15.2,15.6,17.9,19.0,10.0,14.0,6.0,20.0,15.0,16.7,22.2,12.9
CLN,2017-12-23 21:00:00,3.0,7.6,12.5,23.7,23.8,21.2,13.3,10.0,21.1,6.0,40.0,15.0,8.3,30.6,13.0
CLN,2017-12-24 21:00:00,7.9,1.0,14.5,20.3,20.2,16.9,17.8,10.0,18.7,6.0,30.0,15.0,19.8,25.9,13.0
CLN,2017-12-25 21:00:00,9.4,8.1,12.2,20.2,19.9,17.7,14.2,10.0,18.0,6.0,30.0,15.0,15.4,23.6,13.0
CLN,2018-01-06 21:00:00,13.5,3.1,14.1,16.6,17.8,15.1,18.0,10.0,21.6,6.1,40.0,15.0,13.2,25.6,13.0
CLN,2018-01-08 21:00:00,4.3,10.1,14.7,18.4,19.1,19.3,19.9,10.0,19.1,6.1,30.0,15.0,16.2,23.8,13.0
CLN,2018-01-09 21:00:00,4.8,2.9,10.5,15.2,15.5,17.3,16.2,10.0,13.8,9.6,15.0,17.9,15.2,18.7,12.8
CLN,2018-01-10 21:00:00,20.1,2.3,12.0,12.9,12.4,15.6,15.2,10.0,5.2,9.6,10.0,19.3,8.5,9.3,6.5
CLN,2018-01-11 21:00:00,28.2,23.9,18.0,14.6,14.0,15.4,15.4,10.0,13.4,9.6,15.0,15.4,16.4,19.4,12.8
CLN,2018-01-12 21:00:00,44.7,1.9,6.8,6.8,7.4,5.7,7.0,10.0,-9.1,9.5,0.0,13.6,11.0,6.3,4.2
CLN,2018-01-19 21:00:00,13.7,27.4,12.0,12.9,12.9,12.7,12.1,10.0,2.7,9.5,10.0,20.0,10.0,15.4,8.4
CLN,2018-01-20 21:00:00,14.0,6.1,14.6,15.3,15.6,14.3,16.2,10.0,8.8,9.4,15.0,16.4,16.2,19.2,12.4
CLN,2018-01-22 21:00:00,7.9,9.1,24.2,17.2,17.3,17.7,19.3,10.0,13.0,9.4,15.0,15.0,19.0,21.0,12.9
CLN,2018-01-25 21:00:00,49.8,14.1,2.3,5.7,6.2,5.2,6.2,10.0,-6.6,9.4,0.0,13.5,6.4,7.0,4.2
